PLAYER,TEAM,POSITION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FGM,FGA,FG3M,FG3A,FTM,FTA
Scottie Barnes,TOR,SF,73,22.3,16.9,4.0,2.3,0.8,0.3,1.5,5.8,13.8,1.1,3.5,4.2,4.6
Evan Mobley,CLE,PF,76,20.0,13.5,5.0,1.9,0.6,0.5,1.1,5.2,10.9,1.0,2.6,2.1,2.5
Paolo Banchero,ORL,PF,82,21.3,15.3,5.6,2.2,0.7,0.6,1.8,6.0,13.7,1.0,2.9,2.3,2.5
Chet Holmgren,OKC,C,76,24.1,14.4,7.1,1.7,0.6,0.8,1.8,6.2,11.0,0.3,1.0,1.7,1.9
Victor Wembanyama,SAS,C,81,24.2,14.3,7.1,1.7,0.6,0.8,1.5,6.1,10.5,0.4,1.0,1.7,2.0
Cade Cunningham,DET,PG,57,23.4,13.8,3.0,4.2,0.9,0.2,1.3,4.6,10.7,1.6,4.2,3.0,3.7
Franz Wagner,ORL,SF,63,19.7,13.9,3.8,2.1,0.8,0.3,1.7,5.1,12.6,1.1,3.2,2.6,3.0
Alperen Sengun,HOU,C,71,19.5,13.0,6.3,1.4,0.5,0.7,1.6,5.3,11.1,0.3,0.8,2.1,2.6
Jalen Green,HOU,SG,78,23.8,17.5,3.4,2.4,0.9,0.2,1.4,6.1,13.2,1.6,4.5,3.7,4.4
Jaren Jackson Jr.,MEM,PF,64,27.7,22.2,7.4,3.0,0.9,0.8,2.3,8.6,18.6,1.4,3.9,3.6,4.9
Brandon Ingram,ORL,SF,78,33.5,26.7,6.5,4.3,1.4,0.7,2.8,10.9,24.5,2.1,6.0,2.8,3.7
CJ McCollum,BKN,SG,75,29.3,28.6,4.6,3.6,1.3,0.4,2.5,9.9,22.1,2.6,6.6,6.2,6.8
Mikal Bridges,NYK,SF,64,27.8,23.8,5.4,3.4,1.1,0.5,2.3,8.7,18.8,1.7,4.9,4.7,5.6
OG Anunoby,MEM,SF,55,21.6,17.0,4.4,2.6,0.9,0.4,2.0,6.3,13.6,1.5,3.9,2.9,3.3
Desmond Bane,ATL,SG,67,31.3,30.6,4.8,3.8,1.4,0.4,2.5,10.6,25.8,2.7,7.0,6.7,7.7
Dejounte Murray,DAL,PG,60,24.3,15.7,3.3,4.8,1.1,0.2,1.8,5.5,12.7,1.7,4.7,3.0,4.2
Kyrie Irving,GSW,PG,71,31.3,23.7,4.2,7.0,1.5,0.3,2.5,8.4,17.7,2.8,6.7,4.1,4.8
Chris Paul,LAC,PG,72,29.7,25.4,4.3,7.2,1.5,0.3,2.3,8.7,19.6,2.8,6.9,5.2,5.9
Russell Westbrook,SAC,PG,70,21.5,12.0,3.0,4.0,0.9,0.1,1.2,4.5,11.1,1.3,4.0,1.7,2.3
DeMar DeRozan,CHI,SF,62,27.5,22.8,5.5,3.5,1.1,0.5,2.0,8.8,20.4,1.7,5.0,3.5,4.4
Nikola Vucevic,ATL,C,67,26.9,18.2,8.3,2.1,0.7,1.1,2.0,7.4,12.7,0.5,1.2,2.9,3.8
Kristaps Porzingis,BOS,C,79,27.7,22.4,9.6,2.5,0.8,1.3,2.5,8.8,16.3,0.6,1.5,4.2,4.8
Al Horford,MIA,C,63,22.0,13.8,6.9,1.6,0.5,0.8,1.2,5.9,10.6,0.3,0.9,1.7,2.4
Draymond Green,GSW,PF,74,26.1,18.7,6.8,2.7,0.9,0.7,2.2,7.6,16.4,1.4,3.6,2.1,2.7
Andrew Wiggins,MIA,SF,63,28.0,23.9,5.6,3.6,1.2,0.6,2.1,9.1,19.8,1.8,5.1,3.9,4.5
Jordan Poole,ATL,SG,57,29.5,24.8,4.5,3.5,1.3,0.4,2.6,9.9,21.6,2.1,6.5,2.9,4.2
Tyler Herro,SAC,SG,55,31.5,25.7,4.6,3.6,1.3,0.4,2.3,10.0,24.7,2.1,6.5,3.6,4.3
Bogdan Bogdanovic,POR,SG,77,23.5,19.6,3.6,2.6,1.0,0.3,1.7,7.0,14.8,1.9,4.9,3.7,4.3
Buddy Hield,BOS,SG,73,21.8,17.5,3.5,2.5,0.9,0.2,1.6,6.5,13.8,1.8,4.7,2.7,3.2
Malcolm Brogdon,NYK,PG,75,24.1,18.9,3.6,5.5,1.2,0.2,2.0,6.5,14.7,1.9,5.3,4.0,4.6
Terry Rozier,CHI,PG,72,26.2,20.9,3.8,6.0,1.3,0.2,2.0,7.1,16.7,2.1,5.7,4.6,5.3
Immanuel Quickley,NYK,PG,75,25.7,17.1,3.4,5.2,1.1,0.2,1.7,6.1,15.0,1.7,5.0,3.2,3.8
Coby White,NOP,PG,79,23.2,16.5,3.3,4.9,1.1,0.2,1.6,5.5,12.8,1.9,4.7,3.6,4.1
RJ Barrett,NYK,SF,62,27.0,20.4,5.0,3.1,1.0,0.5,2.0,7.7,17.7,1.7,4.5,3.3,4.4
Herbert Jones,BKN,SF,63,20.4,13.1,3.8,2.1,0.8,0.3,1.6,5.1,11.8,1.3,3.2,1.6,1.8
Josh Hart,PHX,SG,70,23.9,17.3,3.5,2.5,0.9,0.2,1.6,6.6,14.7,1.7,4.7,2.4,3.5
Mitchell Robinson,HOU,C,62,21.5,14.5,6.9,1.6,0.5,0.8,1.6,6.0,11.2,0.3,0.9,2.2,2.6
Nic Claxton,CLE,C,63,21.6,15.6,7.0,1.7,0.6,0.8,1.4,6.0,11.6,0.4,0.9,3.2,3.5
Deandre Ayton,LAC,C,78,31.1,23.9,10.9,3.0,0.9,1.6,2.8,10.2,18.8,0.8,1.8,2.7,3.9
Clint Capela,BKN,C,60,23.2,15.7,7.7,1.9,0.6,0.9,1.9,6.8,14.3,0.4,1.1,1.7,2.3
Jarrett Allen,LAC,C,79,26.9,19.8,9.0,2.3,0.7,1.2,2.3,8.3,15.7,0.5,1.4,2.7,3.7
Ivica Zubac,CHI,C,70,20.6,14.3,6.9,1.6,0.5,0.8,1.3,5.9,10.9,0.3,0.9,2.2,3.1
Walker Kessler,BOS,C,57,23.0,13.1,6.3,1.4,0.5,0.7,1.1,5.3,9.6,0.3,0.8,2.2,3.0
Isaiah Hartenstein,BOS,C,69,20.2,12.4,6.3,1.4,0.5,0.7,1.4,5.3,9.7,0.3,0.8,1.5,1.6
Derrick White,NYK,PG,75,23.0,15.3,3.4,5.1,1.1,0.2,1.9,6.0,14.8,1.7,5.0,1.6,2.4
Marcus Smart,OKC,PG,64,23.1,16.4,3.5,5.4,1.2,0.2,1.7,6.4,14.4,1.8,5.3,1.8,2.4
Jalen Brunson,UTA,PG,73,27.9,21.5,3.9,6.2,1.3,0.2,2.4,7.5,17.2,2.2,6.0,4.3,4.8
Josh Giddey,POR,PG,60,22.2,12.2,3.0,4.0,0.9,0.1,1.4,4.4,9.5,1.6,4.0,1.8,2.3
Lauri Markkanen,DEN,PF,63,23.9,17.4,6.0,2.4,0.8,0.6,1.7,6.7,16.6,1.0,3.2,3.0,3.9
Jerami Grant,UTA,PF,76,28.0,20.8,7.0,2.8,0.9,0.8,2.1,7.9,15.8,1.6,3.7,3.4,4.5
Aaron Gordon,MIL,PF,70,25.2,18.9,6.5,2.6,0.8,0.7,1.9,7.3,15.1,1.2,3.4,3.1,3.6
Michael Porter Jr.,GSW,SF,68,32.1,30.6,6.7,4.5,1.4,0.7,2.9,11.3,25.6,2.5,6.2,5.5,7.4
Bojan Bogdanovic,LAL,PF,72,25.0,23.3,7.1,2.8,0.9,0.8,1.9,8.3,20.0,1.3,3.8,5.4,6.1
Tobias Harris,PHX,PF,82,33.5,31.6,9.4,3.8,1.2,1.1,2.9,11.6,26.8,1.7,5.1,6.7,8.1
